"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu203",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp3-dstat-203.csv --noheaders",,,,"Date:","19 Dec 2016 17:31:29 BRST"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.553,0.177,99.067,0.129,0.0,0.074,22524.507,14554.054,0.0,0.0,0.0,0.0,671.943,2552.719,238989312.0,34504704.0,231505920.0,11980316672.0
1.122,0.374,98.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10874.0,13716.0,998.0,5642.0,238739456.0,34504704.0,231514112.0,11980558336.0
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15013.0,14198.0,599.0,1720.0,239124480.0,34504704.0,231514112.0,11980173312.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10104.0,12618.0,305.0,898.0,239124480.0,34504704.0,231514112.0,11980173312.0
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,0.0,0.0,14415.0,14673.0,385.0,1127.0,238993408.0,34504704.0,231514112.0,11980304384.0
0.250,0.250,99.125,0.375,0.0,0.0,0.0,28672.0,0.0,0.0,55492.0,62708.0,717.0,1946.0,238993408.0,34512896.0,231505920.0,11980304384.0
2.655,1.391,93.932,0.0,0.0,2.023,0.0,0.0,0.0,0.0,1405275.0,1533810.0,10598.0,26928.0,243093504.0,34512896.0,231526400.0,11976183808.0
2.799,1.527,94.275,0.0,0.0,1.399,0.0,0.0,0.0,0.0,1497904.0,1634143.0,11095.0,27877.0,245379072.0,34512896.0,231620608.0,11973804032.0
2.281,1.774,93.916,0.0,0.0,2.028,0.0,0.0,0.0,0.0,1501196.0,1639742.0,10762.0,27610.0,247595008.0,34512896.0,231686144.0,11971522560.0
2.522,2.270,93.569,0.0,0.0,1.639,0.0,4096.0,0.0,0.0,1500425.0,1638794.0,10778.0,27575.0,248864768.0,34512896.0,231759872.0,11970179072.0
3.283,2.146,92.551,0.126,0.0,1.894,0.0,24576.0,0.0,0.0,1500823.0,1637923.0,10469.0,25116.0,250904576.0,34521088.0,231817216.0,11968073728.0
3.042,1.267,93.790,0.0,0.0,1.901,0.0,0.0,0.0,0.0,1504316.0,1643768.0,9750.0,23519.0,252854272.0,34521088.0,231890944.0,11966050304.0
4.125,1.375,92.250,0.0,0.0,2.250,0.0,0.0,0.0,0.0,1515084.0,1653628.0,9850.0,25436.0,254324736.0,34521088.0,231968768.0,11964502016.0
2.166,1.274,94.777,0.0,0.0,1.783,0.0,0.0,0.0,0.0,1511668.0,1650662.0,9239.0,22810.0,255467520.0,34521088.0,232038400.0,11963289600.0
5.980,3.690,88.295,0.0,0.0,2.036,0.0,12288.0,0.0,0.0,4990480.0,4951741.0,13062.0,39896.0,259129344.0,34521088.0,232099840.0,11959566336.0
5.497,2.618,89.529,0.262,0.0,2.094,0.0,32768.0,0.0,0.0,5759171.0,5654066.0,12560.0,43353.0,260198400.0,34529280.0,232108032.0,11958480896.0
3.876,1.938,92.119,0.0,0.0,2.067,0.0,0.0,0.0,0.0,3965585.0,3961742.0,11649.0,36123.0,260255744.0,34529280.0,232132608.0,11958398976.0
3.038,1.519,93.544,0.0,0.0,1.899,0.0,0.0,0.0,0.0,1466414.0,1601044.0,10617.0,27139.0,260308992.0,34529280.0,232198144.0,11958280192.0
2.278,1.646,93.924,0.0,0.0,2.152,0.0,0.0,0.0,0.0,1474071.0,1609086.0,10553.0,27257.0,261668864.0,34529280.0,232267776.0,11956850688.0
2.672,1.527,94.020,0.0,0.0,1.781,0.0,0.0,0.0,0.0,1486324.0,1622909.0,10978.0,27766.0,263856128.0,34529280.0,232337408.0,11954593792.0
3.287,1.391,93.047,0.253,0.0,2.023,0.0,20480.0,0.0,0.0,1497121.0,1634534.0,10417.0,25071.0,264228864.0,34537472.0,232402944.0,11954147328.0
2.662,1.648,93.409,0.0,0.0,2.281,0.0,0.0,0.0,0.0,1505999.0,1644347.0,9669.0,23601.0,265175040.0,34537472.0,232476672.0,11953127424.0
2.513,1.759,93.216,0.0,0.0,2.513,0.0,0.0,0.0,0.0,1490469.0,1627254.0,9537.0,23509.0,265863168.0,34537472.0,232546304.0,11952369664.0
3.764,1.506,92.974,0.0,0.0,1.757,0.0,0.0,0.0,0.0,1499810.0,1637444.0,9499.0,25073.0,266620928.0,34537472.0,232615936.0,11951542272.0
2.387,1.884,93.216,0.0,0.0,2.513,0.0,0.0,0.0,0.0,1467747.0,1599591.0,9466.0,23061.0,267952128.0,34537472.0,232689664.0,11950137344.0
2.402,1.896,93.426,0.126,0.0,2.149,0.0,24576.0,0.0,0.0,1481942.0,1618438.0,9466.0,23107.0,269017088.0,34545664.0,232747008.0,11949006848.0
1.926,1.027,95.635,0.0,0.0,1.412,0.0,0.0,0.0,0.0,1487891.0,1624409.0,9431.0,23303.0,270151680.0,34545664.0,232828928.0,11947790336.0
0.755,0.503,97.736,0.0,0.0,1.006,0.0,0.0,0.0,0.0,478393.0,522827.0,3763.0,8750.0,270209024.0,34545664.0,232882176.0,11947679744.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080.0,12634.0,320.0,930.0,270114816.0,34545664.0,232886272.0,11947769856.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10182.0,12810.0,322.0,940.0,270114816.0,34545664.0,232886272.0,11947769856.0
1.003,0.251,98.622,0.0,0.0,0.125,0.0,0.0,0.0,0.0,10080.0,12694.0,1089.0,3082.0,270139392.0,34545664.0,232886272.0,11947745280.0
0.624,0.250,98.752,0.250,0.0,0.125,0.0,20480.0,0.0,0.0,10390.0,12634.0,1009.0,2748.0,270635008.0,34553856.0,232890368.0,11947237376.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10228.0,12962.0,504.0,1449.0,270618624.0,34553856.0,232890368.0,11947253760.0
0.501,0.125,99.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14809.0,14154.0,461.0,3999.0,270618624.0,34553856.0,232890368.0,11947253760.0
0.250,0.0,99.750,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,14423.0,14689.0,360.0,1076.0,270618624.0,34553856.0,232890368.0,11947253760.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080.0,12650.0,335.0,952.0,270618624.0,34553856.0,232890368.0,11947253760.0
0.751,0.250,98.623,0.250,0.0,0.125,0.0,24576.0,0.0,0.0,10086.0,12700.0,1569.0,4401.0,270733312.0,34562048.0,232894464.0,11947126784.0
0.125,0.0,99.749,0.0,0.0,0.125,0.0,0.0,0.0,0.0,10086.0,12716.0,811.0,1678.0,270733312.0,34562048.0,232894464.0,11947126784.0
