"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu202",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp2-dstat-202.csv --noheaders",,,,"Date:","20 Jun 2017 11:43:17 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.234,0.086,99.647,0.033,0.000,0.001,254.508,4555.615,0.0,0.0,0.0,0.0,258.244,922.871,272240640.0,200171520.0,573677568.0,11439226880.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,0.0,0.0,17346.0,19004.0,462.0,1337.0,272281600.0,200171520.0,573681664.0,11439181824.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17280.0,18486.0,459.0,1351.0,273743872.0,200171520.0,573681664.0,11437719552.0,
0.624,0.375,99.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17464.0,18670.0,543.0,4128.0,273670144.0,200171520.0,573681664.0,11437793280.0,
0.125,0.125,99.375,0.250,0.0,0.125,0.0,32768.0,0.0,0.0,17716.0,18588.0,484.0,1388.0,273670144.0,200171520.0,573681664.0,11437793280.0,
7.296,1.258,90.692,0.0,0.0,0.755,0.0,0.0,0.0,0.0,861624.0,823718.0,6478.0,27469.0,280231936.0,200171520.0,573681664.0,11431231488.0,
22.727,5.303,68.434,0.0,0.0,3.535,0.0,0.0,0.0,0.0,3945607.0,3787841.0,27028.0,120552.0,294477824.0,200171520.0,573710336.0,11416956928.0,
22.843,5.330,68.528,0.0,0.0,3.299,0.0,0.0,0.0,0.0,3985055.0,3830991.0,26266.0,120554.0,298061824.0,200171520.0,573784064.0,11413299200.0,
24.535,5.576,66.171,0.0,0.0,3.717,0.0,0.0,0.0,0.0,3986748.0,3831587.0,26654.0,121209.0,301543424.0,200171520.0,573841408.0,11409760256.0,
23.291,4.937,67.848,0.127,0.0,3.797,0.0,20480.0,0.0,0.0,3971798.0,3817507.0,26442.0,121940.0,303878144.0,200171520.0,573902848.0,11407364096.0,
23.797,4.430,68.101,0.0,0.0,3.671,0.0,0.0,0.0,0.0,3970247.0,3815843.0,26638.0,120802.0,306847744.0,200171520.0,573960192.0,11404337152.0,
22.980,4.924,68.434,0.0,0.0,3.662,0.0,0.0,0.0,0.0,3931474.0,3777857.0,26061.0,119331.0,309673984.0,200171520.0,574017536.0,11401453568.0,
22.433,4.816,68.314,0.0,0.0,4.436,0.0,0.0,0.0,0.0,4023998.0,3866833.0,26588.0,122657.0,311672832.0,200171520.0,574074880.0,11399397376.0,
22.589,5.330,68.147,0.0,0.0,3.934,0.0,0.0,0.0,0.0,4011197.0,3856563.0,26533.0,121232.0,315224064.0,200171520.0,574132224.0,11395788800.0,
22.577,5.102,68.495,0.255,0.0,3.571,0.0,24576.0,0.0,0.0,3997019.0,3842981.0,26263.0,121470.0,317915136.0,200171520.0,574185472.0,11393044480.0,
17.817,4.266,75.157,0.0,0.0,2.760,0.0,24576.0,0.0,0.0,2542876.0,2478726.0,18007.0,106545.0,318169088.0,200171520.0,574222336.0,11392753664.0,
18.987,3.544,74.430,0.0,0.0,3.038,0.0,0.0,0.0,0.0,2727375.0,2638543.0,17580.0,104637.0,318959616.0,200171520.0,574238720.0,11391946752.0,
22.334,5.646,68.130,0.0,0.0,3.890,0.0,0.0,0.0,0.0,3846661.0,3691239.0,25712.0,116827.0,321699840.0,200171520.0,574291968.0,11389153280.0,
22.803,5.350,68.280,0.0,0.0,3.567,0.0,0.0,0.0,0.0,3976989.0,3820601.0,28308.0,120300.0,324972544.0,200171520.0,574345216.0,11385827328.0,
22.532,5.316,68.101,0.253,0.0,3.797,0.0,24576.0,0.0,0.0,3950855.0,3794268.0,27700.0,120594.0,326971392.0,200171520.0,574406656.0,11383767040.0,
23.834,5.170,67.591,0.0,0.0,3.405,0.0,0.0,0.0,0.0,3976397.0,3821726.0,27861.0,122327.0,330063872.0,200171520.0,574468096.0,11380613120.0,
23.321,5.196,68.441,0.0,0.0,3.042,0.0,0.0,0.0,0.0,3970618.0,3812960.0,26702.0,121277.0,333508608.0,200171520.0,574521344.0,11377115136.0,
22.832,4.974,68.750,0.0,0.0,3.444,0.0,0.0,0.0,0.0,4020942.0,3858952.0,26763.0,121844.0,335843328.0,200171520.0,574578688.0,11374723072.0,
23.096,4.442,68.782,0.0,0.0,3.680,0.0,0.0,0.0,0.0,3916147.0,3761659.0,26263.0,119605.0,338579456.0,200171520.0,574631936.0,11371933696.0,
22.961,4.893,68.256,0.125,0.0,3.764,0.0,20480.0,0.0,0.0,3342461.0,3231691.0,23243.0,113205.0,339718144.0,200171520.0,574689280.0,11370737664.0,
22.194,3.657,72.257,0.0,0.0,1.892,0.0,20480.0,0.0,0.0,1475743.0,1476985.0,8623.0,96187.0,339062784.0,200171520.0,574697472.0,11371384832.0,
22.124,3.540,72.440,0.0,0.0,1.896,0.0,0.0,0.0,0.0,1361936.0,1363096.0,7213.0,93992.0,341348352.0,200171520.0,574697472.0,11369099264.0,
22.320,3.153,72.509,0.0,0.0,2.018,0.0,0.0,0.0,0.0,1420396.0,1421648.0,7569.0,94358.0,341217280.0,200171520.0,574701568.0,11369226240.0,
21.761,3.774,72.201,0.0,0.0,2.264,0.0,0.0,0.0,0.0,1395246.0,1396030.0,8118.0,90654.0,341352448.0,200171520.0,574701568.0,11369091072.0,
21.970,4.040,72.222,0.253,0.0,1.515,0.0,28672.0,0.0,0.0,1363014.0,1364232.0,7520.0,91378.0,341663744.0,200171520.0,574705664.0,11368775680.0,
