"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu201",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp2-dstat-201.csv --noheaders",,,,"Date:","20 Jun 2017 11:44:04 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.250,0.111,99.606,0.033,0.000,0.001,254.562,4612.958,0.0,0.0,0.0,0.0,256.492,931.575,284897280.0,200265728.0,574664704.0,9307344896.0,
0.874,0.250,98.752,0.0,0.0,0.125,0.0,0.0,0.0,0.0,9890.0,12536.0,1259.0,3821.0,284880896.0,200265728.0,574664704.0,9307361280.0,
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9824.0,12018.0,609.0,1852.0,285274112.0,200265728.0,574676992.0,9306955776.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.0,12044.0,322.0,912.0,285274112.0,200265728.0,574676992.0,9306955776.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,0.0,0.0,10128.0,11952.0,318.0,944.0,285274112.0,200265728.0,574676992.0,9306955776.0,
0.627,0.251,98.997,0.0,0.0,0.125,0.0,0.0,0.0,0.0,179718.0,211269.0,1808.0,4311.0,285511680.0,200265728.0,574676992.0,9306718208.0,
1.519,1.139,96.456,0.127,0.0,0.759,0.0,61440.0,0.0,0.0,817047.0,961818.0,7403.0,15091.0,279240704.0,200265728.0,574676992.0,9312989184.0,
1.263,1.010,96.338,0.0,0.0,1.389,0.0,0.0,0.0,0.0,850702.0,997398.0,7597.0,15547.0,280256512.0,200265728.0,574676992.0,9311973376.0,
1.635,1.258,95.723,0.0,0.0,1.384,0.0,0.0,0.0,0.0,852283.0,999703.0,7651.0,15877.0,281530368.0,200265728.0,574676992.0,9310699520.0,
2.015,0.882,95.592,0.126,0.0,1.385,0.0,0.0,0.0,0.0,842343.0,988357.0,7462.0,15928.0,282533888.0,200265728.0,574676992.0,9309696000.0,
2.261,0.879,95.352,0.0,0.0,1.508,0.0,0.0,0.0,0.0,849370.0,996474.0,7870.0,18585.0,283480064.0,200265728.0,574676992.0,9308749824.0,
2.264,0.629,95.723,0.0,0.0,1.384,0.0,16384.0,0.0,0.0,832925.0,976962.0,8153.0,16997.0,284049408.0,200265728.0,574676992.0,9308180480.0,
1.396,0.635,96.574,0.127,0.0,1.269,0.0,24576.0,0.0,0.0,857364.0,1006252.0,7693.0,16296.0,284774400.0,200265728.0,574676992.0,9307455488.0,
1.266,0.886,96.709,0.0,0.0,1.139,0.0,0.0,0.0,0.0,860940.0,1009956.0,7247.0,15474.0,286015488.0,200265728.0,574676992.0,9306214400.0,
1.010,1.010,96.338,0.0,0.0,1.641,0.0,0.0,0.0,0.0,854742.0,1002622.0,7308.0,15537.0,286760960.0,200265728.0,574676992.0,9305468928.0,
0.631,0.252,98.487,0.0,0.0,0.631,0.0,0.0,0.0,0.0,386987.0,446561.0,3907.0,8159.0,287002624.0,200265728.0,574676992.0,9305227264.0,
0.881,0.503,97.987,0.0,0.0,0.629,0.0,0.0,0.0,0.0,419629.0,495436.0,4038.0,8686.0,287449088.0,200265728.0,574676992.0,9304780800.0,
1.515,0.379,96.591,0.253,0.0,1.263,0.0,16384.0,0.0,0.0,801945.0,942392.0,6805.0,14668.0,288407552.0,200265728.0,574676992.0,9303822336.0,
1.142,0.761,96.827,0.0,0.0,1.269,0.0,0.0,0.0,0.0,841727.0,987600.0,7360.0,15465.0,289120256.0,200265728.0,574676992.0,9303109632.0,
1.998,1.124,95.506,0.0,0.0,1.373,0.0,0.0,0.0,0.0,840776.0,986282.0,7259.0,15167.0,290623488.0,200265728.0,574676992.0,9301606400.0,
1.387,1.009,96.091,0.0,0.0,1.513,0.0,0.0,0.0,0.0,849955.0,997276.0,7893.0,16645.0,291438592.0,200265728.0,574676992.0,9300791296.0,
1.517,0.885,96.207,0.0,0.0,1.391,0.0,0.0,0.0,0.0,844489.0,990584.0,7582.0,16241.0,292261888.0,200265728.0,574681088.0,9299963904.0,
1.629,1.253,95.489,0.0,0.0,1.629,0.0,0.0,0.0,0.0,857890.0,1006802.0,7868.0,16478.0,293240832.0,200265728.0,574681088.0,9298984960.0,
1.398,0.889,96.569,0.254,0.0,0.889,0.0,16384.0,0.0,0.0,841621.0,982270.0,7759.0,16431.0,294047744.0,200265728.0,574681088.0,9298178048.0,
1.255,0.878,96.612,0.0,0.0,1.255,0.0,0.0,0.0,0.0,657044.0,767272.0,6237.0,12735.0,294391808.0,200265728.0,574681088.0,9297833984.0,
0.627,0.251,99.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49859.0,52607.0,957.0,5274.0,294334464.0,200265728.0,574681088.0,9297891328.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,9696.0,11858.0,303.0,895.0,294334464.0,200265728.0,574681088.0,9297891328.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.0,11874.0,309.0,928.0,294334464.0,200265728.0,574681088.0,9297891328.0,
0.375,0.500,99.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10176.0,11960.0,417.0,1444.0,294682624.0,200265728.0,574685184.0,9297539072.0,
0.374,0.125,99.252,0.249,0.0,0.0,0.0,16384.0,0.0,0.0,9762.0,11924.0,343.0,1020.0,294567936.0,200265728.0,574685184.0,9297653760.0,
0.626,0.125,99.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10244.0,11934.0,811.0,2305.0,294969344.0,200265728.0,574685184.0,9297252352.0,
