"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu203",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp2-dstat-203.csv --noheaders",,,,"Date:","20 Jun 2017 11:43:44 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.154,0.074,99.734,0.035,0.000,0.002,250.477,4702.992,0.0,0.0,0.0,0.0,262.191,1005.306,274014208.0,197517312.0,587800576.0,15653826560.0,
0.625,0.125,99.0,0.250,0.0,0.0,0.0,36864.0,0.0,0.0,9754.0,12488.0,583.0,1728.0,274014208.0,197517312.0,587800576.0,15653826560.0,
0.376,0.125,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9688.0,11906.0,725.0,2104.0,273850368.0,197517312.0,587804672.0,15653986304.0,
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.0,12066.0,734.0,2219.0,273850368.0,197517312.0,587804672.0,15653986304.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10058.0,11890.0,334.0,964.0,273850368.0,197517312.0,587804672.0,15653986304.0,
0.752,0.501,98.496,0.0,0.0,0.251,0.0,0.0,0.0,0.0,271130.0,303416.0,2467.0,6214.0,274198528.0,197517312.0,587804672.0,15653638144.0,
2.638,1.005,94.221,0.126,0.0,2.010,0.0,20480.0,0.0,0.0,1215572.0,1352094.0,10236.0,23880.0,276885504.0,197517312.0,587829248.0,15650926592.0,
2.250,1.875,94.125,0.125,0.0,1.625,0.0,16384.0,0.0,0.0,1248154.0,1387886.0,10179.0,23977.0,278814720.0,197517312.0,587911168.0,15648915456.0,
1.652,0.889,95.553,0.0,0.0,1.906,0.0,0.0,0.0,0.0,1252507.0,1389973.0,10086.0,24110.0,280637440.0,197517312.0,587988992.0,15647014912.0,
2.390,1.132,94.465,0.0,0.0,2.013,0.0,0.0,0.0,0.0,1235323.0,1373730.0,9742.0,23561.0,282345472.0,197517312.0,588066816.0,15645229056.0,
