"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu201",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp1-dstat-201.csv --noheaders",,,,"Date:","20 Jun 2017 11:35:29 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.249,0.111,99.607,0.033,0.000,0.001,254.631,4609.054,0.0,0.0,0.0,0.0,256.151,929.981,279474176.0,200265728.0,572014592.0,9315418112.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17674.0,19660.0,450.0,1279.0,279285760.0,200265728.0,572018688.0,9315602432.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17668.0,19202.0,464.0,1333.0,279285760.0,200265728.0,572018688.0,9315602432.0,
0.375,0.625,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18142.0,19262.0,683.0,2275.0,280064000.0,200265728.0,572018688.0,9314824192.0,
0.250,0.125,99.500,0.0,0.0,0.125,0.0,0.0,0.0,0.0,17674.0,19392.0,457.0,1339.0,279326720.0,200265728.0,572018688.0,9315561472.0,
0.623,0.374,98.753,0.0,0.0,0.249,0.0,24576.0,0.0,0.0,18162.0,19392.0,703.0,2004.0,279326720.0,200265728.0,572018688.0,9315561472.0,
20.812,3.299,74.239,0.254,0.0,1.396,0.0,4096.0,0.0,0.0,1787048.0,1705328.0,15276.0,65818.0,292597760.0,200265728.0,572030976.0,9302278144.0,
32.481,6.266,59.719,0.0,0.0,1.535,0.0,0.0,0.0,0.0,3255072.0,3120404.0,26197.0,123590.0,300883968.0,200265728.0,572207104.0,9293815808.0,
33.629,5.203,59.010,0.127,0.0,2.030,0.0,0.0,0.0,0.0,3261998.0,3128493.0,25399.0,122658.0,305385472.0,200265728.0,572338176.0,9289183232.0,
32.994,5.223,59.745,0.127,0.0,1.911,0.0,0.0,0.0,0.0,3269035.0,3130514.0,25218.0,122228.0,308015104.0,200265728.0,572465152.0,9286426624.0,
31.458,6.905,59.591,0.0,0.0,2.046,0.0,28672.0,0.0,0.0,3274360.0,3137623.0,25492.0,122893.0,312258560.0,200265728.0,572592128.0,9282056192.0,
33.208,6.742,58.302,0.125,0.0,1.623,0.0,4096.0,0.0,0.0,3287452.0,3154978.0,25468.0,123881.0,317767680.0,200265728.0,572723200.0,9276416000.0,
33.544,5.927,58.638,0.126,0.0,1.765,0.0,0.0,0.0,0.0,3264666.0,3124842.0,25804.0,122575.0,319885312.0,200265728.0,572850176.0,9274171392.0,
31.353,7.080,59.039,0.0,0.0,2.528,0.0,0.0,0.0,0.0,3293668.0,3159311.0,25835.0,123296.0,322777088.0,200265728.0,572981248.0,9271148544.0,
32.102,6.242,59.618,0.0,0.0,2.038,0.0,0.0,0.0,0.0,3274230.0,3137937.0,25604.0,122033.0,326197248.0,200265728.0,573108224.0,9267601408.0,
