"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu202",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp1-dstat-202.csv --noheaders",,,,"Date:","20 Jun 2017 11:34:42 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.234,0.086,99.647,0.033,0.000,0.001,254.577,4552.398,0.0,0.0,0.0,0.0,258.055,922.364,270585856.0,200167424.0,571895808.0,11442667520.0,
0.876,0.626,98.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10086.0,13024.0,852.0,4668.0,270262272.0,200167424.0,571899904.0,11442987008.0,
0.249,0.249,99.377,0.0,0.0,0.125,0.0,0.0,0.0,0.0,10020.0,12506.0,305.0,893.0,270692352.0,200167424.0,571899904.0,11442556928.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10494.0,12566.0,312.0,914.0,270692352.0,200167424.0,571899904.0,11442556928.0,
0.624,0.375,98.876,0.0,0.0,0.125,0.0,0.0,0.0,0.0,10112.0,12506.0,800.0,2581.0,270692352.0,200167424.0,571899904.0,11442556928.0,
0.375,0.125,99.250,0.250,0.0,0.0,0.0,36864.0,0.0,0.0,10600.0,12506.0,653.0,2036.0,270553088.0,200167424.0,571904000.0,11442692096.0,
1.506,0.878,96.989,0.0,0.0,0.627,0.0,0.0,0.0,0.0,628976.0,702196.0,5622.0,13829.0,272793600.0,200167424.0,571924480.0,11440431104.0,
2.519,0.882,94.962,0.0,0.0,1.637,0.0,0.0,0.0,0.0,1193356.0,1327766.0,10249.0,23703.0,275431424.0,200167424.0,571990016.0,11437727744.0,
2.399,1.136,95.202,0.0,0.0,1.263,0.0,0.0,0.0,0.0,1196976.0,1331938.0,10129.0,23284.0,277176320.0,200167424.0,572080128.0,11435892736.0,
2.273,1.136,94.949,0.0,0.0,1.641,0.0,0.0,0.0,0.0,1204474.0,1337263.0,10286.0,24291.0,278937600.0,200167424.0,572153856.0,11434057728.0,
2.264,1.132,94.591,0.252,0.0,1.761,0.0,20480.0,0.0,0.0,1206491.0,1337882.0,9999.0,23450.0,280141824.0,200167424.0,572235776.0,11432771584.0,
2.402,1.138,95.070,0.0,0.0,1.391,0.0,0.0,0.0,0.0,1212115.0,1348950.0,10209.0,24127.0,284389376.0,200167424.0,572305408.0,11428454400.0,
2.645,1.134,94.962,0.0,0.0,1.259,0.0,0.0,0.0,0.0,1195274.0,1330194.0,9973.0,23089.0,285491200.0,200167424.0,572379136.0,11427278848.0,
2.525,1.263,94.823,0.0,0.0,1.389,0.0,0.0,0.0,0.0,1210783.0,1347220.0,9991.0,25788.0,286281728.0,200167424.0,572456960.0,11426410496.0,
2.767,1.258,94.088,0.0,0.0,1.887,0.0,0.0,0.0,0.0,1202641.0,1338598.0,9517.0,22816.0,286937088.0,200167424.0,572530688.0,11425681408.0,
2.519,2.015,94.081,0.252,0.0,1.134,0.0,20480.0,0.0,0.0,1183530.0,1317210.0,10565.0,24297.0,287854592.0,200167424.0,572604416.0,11424690176.0,
2.764,1.256,94.849,0.0,0.0,1.131,0.0,0.0,0.0,0.0,1215852.0,1353076.0,9605.0,23575.0,288358400.0,200167424.0,572682240.0,11424108544.0,
1.654,0.763,95.929,0.0,0.0,1.654,0.0,0.0,0.0,0.0,1200177.0,1335728.0,10045.0,23400.0,289185792.0,200167424.0,572751872.0,11423211520.0,
2.264,1.509,94.969,0.0,0.0,1.258,0.0,0.0,0.0,0.0,1207606.0,1343856.0,10432.0,23559.0,290439168.0,200167424.0,572829696.0,11421880320.0,
2.030,1.269,95.305,0.0,0.0,1.396,0.0,0.0,0.0,0.0,1191734.0,1323527.0,10521.0,24183.0,290988032.0,200167424.0,572903424.0,11421257728.0,
2.743,1.122,93.890,0.249,0.0,1.995,0.0,24576.0,0.0,0.0,1202577.0,1338600.0,9486.0,23030.0,291938304.0,200167424.0,572956672.0,11420254208.0,
2.025,1.013,95.570,0.0,0.0,1.392,0.0,0.0,0.0,0.0,1214154.0,1351182.0,9941.0,23564.0,292978688.0,200167424.0,573054976.0,11419115520.0,
2.146,1.389,94.949,0.0,0.0,1.515,0.0,0.0,0.0,0.0,1200992.0,1336664.0,10264.0,24032.0,294506496.0,200167424.0,573124608.0,11417518080.0,
2.648,1.639,94.578,0.0,0.0,1.135,0.0,0.0,0.0,0.0,1193983.0,1328688.0,9960.0,23703.0,295153664.0,200167424.0,573194240.0,11416801280.0,
2.420,1.019,95.541,0.0,0.0,1.019,0.0,0.0,0.0,0.0,1113459.0,1239114.0,8416.0,22236.0,295657472.0,200167424.0,573218816.0,11416272896.0,
0.501,0.376,98.622,0.251,0.0,0.251,0.0,20480.0,0.0,0.0,72734.0,80594.0,1497.0,3487.0,295661568.0,200167424.0,573272064.0,11416215552.0,
0.374,0.249,99.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10110.0,12530.0,457.0,1372.0,295899136.0,200167424.0,573272064.0,11415977984.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10024.0,12514.0,311.0,916.0,295911424.0,200167424.0,573276160.0,11415961600.0,
0.249,0.249,99.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10154.0,12658.0,333.0,994.0,295919616.0,200167424.0,573276160.0,11415953408.0,
0.249,0.374,99.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14427.0,14503.0,471.0,1366.0,295911424.0,200167424.0,573276160.0,11415961600.0,
0.250,0.0,99.499,0.250,0.0,0.0,0.0,45056.0,0.0,0.0,10024.0,12580.0,322.0,901.0,296054784.0,200167424.0,573276160.0,11415818240.0,
0.501,0.250,99.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10024.0,12530.0,415.0,1472.0,295849984.0,200167424.0,573276160.0,11416023040.0,
