"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu203",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp3-dstat-203.csv --noheaders",,,,"Date:","20 Jun 2017 16:50:45 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.155,0.074,99.733,0.035,0.000,0.002,248.133,4695.509,0.0,0.0,0.0,0.0,264.228,1011.144,281149440.0,197517312.0,596455424.0,15638036480.0,
0.501,0.125,98.999,0.250,0.0,0.125,0.0,45056.0,0.0,0.0,9820.0,12462.0,828.0,2406.0,281411584.0,197517312.0,596455424.0,15637774336.0,
0.374,0.249,99.252,0.0,0.0,0.125,0.0,0.0,0.0,0.0,9754.0,11960.0,627.0,1861.0,281370624.0,197517312.0,596459520.0,15637811200.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9884.0,12088.0,332.0,949.0,281370624.0,197517312.0,596459520.0,15637811200.0,
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9886.0,12076.0,393.0,1116.0,281767936.0,197517312.0,596459520.0,15637413888.0,
1.633,0.879,96.985,0.0,0.0,0.503,0.0,0.0,0.0,0.0,680561.0,758530.0,6106.0,14501.0,283996160.0,197517312.0,596488192.0,15635156992.0,
2.904,1.389,93.687,0.253,0.0,1.768,0.0,20480.0,0.0,0.0,1157579.0,1284435.0,10833.0,27242.0,286396416.0,197517312.0,596553728.0,15632691200.0,
2.393,1.511,94.710,0.0,0.0,1.385,0.0,0.0,0.0,0.0,1141701.0,1269356.0,9895.0,22660.0,287748096.0,197517312.0,596635648.0,15631257600.0,
2.018,1.387,95.208,0.0,0.0,1.387,0.0,0.0,0.0,0.0,1165078.0,1295728.0,9668.0,22570.0,288768000.0,197517312.0,596705280.0,15630168064.0,
2.281,1.267,95.311,0.0,0.0,1.141,0.0,0.0,0.0,0.0,1137753.0,1265342.0,9899.0,22563.0,290885632.0,197517312.0,596774912.0,15627980800.0,
2.516,1.509,94.340,0.0,0.0,1.635,0.0,0.0,0.0,0.0,1185418.0,1318294.0,9579.0,22339.0,294830080.0,197517312.0,596848640.0,15623962624.0,
2.658,1.139,94.557,0.127,0.0,1.519,0.0,24576.0,0.0,0.0,1196117.0,1325584.0,9989.0,23020.0,295735296.0,197517312.0,596930560.0,15622975488.0,
2.138,1.132,95.094,0.0,0.0,1.635,0.0,0.0,0.0,0.0,1174188.0,1305696.0,9747.0,22642.0,296656896.0,197517312.0,597000192.0,15621984256.0,
2.152,1.266,95.316,0.0,0.0,1.266,0.0,0.0,0.0,0.0,1169237.0,1300284.0,9681.0,22949.0,297353216.0,197517312.0,597069824.0,15621218304.0,
2.138,1.132,95.220,0.126,0.0,1.384,0.0,0.0,0.0,0.0,1166251.0,1297022.0,9152.0,22094.0,298041344.0,197517312.0,597143552.0,15620456448.0,
10.323,4.258,81.161,0.0,0.0,4.258,0.0,0.0,0.0,0.0,11667097.0,11459038.0,15496.0,60358.0,302039040.0,197517312.0,597180416.0,15616421888.0,
11.125,6.468,77.102,0.0,0.0,5.304,0.0,24576.0,0.0,0.0,16117318.0,15727783.0,14258.0,73370.0,303755264.0,197517312.0,597192704.0,15614693376.0,
10.499,6.955,77.953,0.0,0.0,4.593,0.0,4096.0,0.0,0.0,16135116.0,15744640.0,13581.0,76291.0,303427584.0,197517312.0,597196800.0,15615016960.0,
7.417,3.197,86.317,0.0,0.0,3.069,0.0,0.0,0.0,0.0,8609915.0,8487924.0,11527.0,47567.0,302391296.0,197517312.0,597225472.0,15616024576.0,
2.281,1.141,95.057,0.0,0.0,1.521,0.0,0.0,0.0,0.0,1143961.0,1272030.0,10164.0,23367.0,303304704.0,197517312.0,597295104.0,15615041536.0,
3.491,1.621,93.641,0.0,0.0,1.247,0.0,0.0,0.0,0.0,1172896.0,1304288.0,10448.0,24404.0,304242688.0,197517312.0,597368832.0,15614029824.0,
2.645,1.259,94.458,0.252,0.0,1.385,0.0,20480.0,0.0,0.0,1179587.0,1311770.0,10152.0,23560.0,305319936.0,197517312.0,597438464.0,15612882944.0,
2.146,1.515,94.949,0.0,0.0,1.389,0.0,0.0,0.0,0.0,1173455.0,1304856.0,10140.0,23401.0,306208768.0,197517312.0,597512192.0,15611920384.0,
2.030,1.904,94.924,0.0,0.0,1.142,0.0,0.0,0.0,0.0,1176495.0,1308418.0,9905.0,23243.0,307482624.0,197517312.0,597585920.0,15610572800.0,
2.264,1.509,95.094,0.0,0.0,1.132,0.0,0.0,0.0,0.0,1169460.0,1300750.0,9595.0,22101.0,308117504.0,197517312.0,597655552.0,15609868288.0,
2.258,1.380,94.856,0.0,0.0,1.506,0.0,0.0,0.0,0.0,1134870.0,1261722.0,9663.0,22105.0,308887552.0,197517312.0,597725184.0,15609028608.0,
2.522,1.009,94.830,0.252,0.0,1.387,0.0,20480.0,0.0,0.0,1176049.0,1304673.0,9973.0,23244.0,310308864.0,197517312.0,597798912.0,15607533568.0,
0.753,0.753,97.867,0.0,0.0,0.627,0.0,0.0,0.0,0.0,413998.0,459238.0,4063.0,9190.0,310333440.0,197517312.0,597831680.0,15607476224.0,
0.251,0.251,99.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9824.0,11982.0,448.0,3371.0,310296576.0,197517312.0,597835776.0,15607508992.0,
0.0,0.250,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752.0,11850.0,316.0,947.0,310337536.0,197517312.0,597835776.0,15607468032.0,
0.750,0.250,98.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,9752.0,11850.0,806.0,2330.0,310423552.0,197517312.0,597835776.0,15607382016.0,
0.501,0.125,99.249,0.125,0.0,0.0,0.0,20480.0,0.0,0.0,9692.0,11850.0,800.0,2347.0,310308864.0,197517312.0,597839872.0,15607492608.0,
0.500,0.125,99.375,0.0,0.0,0.0,0.0,53248.0,0.0,0.0,9692.0,11866.0,615.0,1837.0,310308864.0,197517312.0,597839872.0,15607492608.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752.0,11926.0,322.0,909.0,310308864.0,197517312.0,597839872.0,15607492608.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9824.0,11982.0,323.0,911.0,310308864.0,197517312.0,597839872.0,15607492608.0,
0.125,0.375,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9758.0,11916.0,635.0,1583.0,310308864.0,197517312.0,597839872.0,15607492608.0,
0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14451.0,14448.0,885.0,2127.0,310210560.0,197517312.0,597839872.0,15607590912.0,
0.125,0.0,99.498,0.376,0.0,0.0,4096.0,1404928.0,0.0,0.0,9784.0,11850.0,834.0,1947.0,310198272.0,197521408.0,597848064.0,15607590912.0,
0.500,0.500,98.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,9844.0,11926.0,944.0,4979.0,310161408.0,197521408.0,597848064.0,15607627776.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9844.0,11910.0,780.0,1989.0,310304768.0,197521408.0,597848064.0,15607484416.0,
0.877,0.0,99.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9692.0,11850.0,1218.0,3398.0,310292480.0,197521408.0,597852160.0,15607492608.0,
0.627,0.251,99.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9966.0,12222.0,1181.0,2968.0,310317056.0,197521408.0,597852160.0,15607468032.0,
0.376,0.251,99.123,0.251,0.0,0.0,0.0,36864.0,0.0,0.0,15124.0,13370.0,1115.0,2970.0,310325248.0,197521408.0,597852160.0,15607459840.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9692.0,11866.0,689.0,1979.0,310325248.0,197521408.0,597852160.0,15607459840.0,
