"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu202",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp3-dstat-202.csv --noheaders",,,,"Date:","20 Jun 2017 16:50:19 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.423,0.114,99.414,0.033,0.000,0.016,252.126,4549.535,0.0,0.0,0.0,0.0,314.623,1764.018,267251712.0,200171520.0,582053888.0,11435839488.0,
0.623,0.374,99.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9758.0,12404.0,507.0,4157.0,267280384.0,200171520.0,582057984.0,11435806720.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,0.0,0.0,9758.0,11952.0,293.0,853.0,267264000.0,200171520.0,582057984.0,11435823104.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14293.0,14139.0,378.0,1118.0,267264000.0,200171520.0,582057984.0,11435823104.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10022.0,12216.0,319.0,945.0,267264000.0,200171520.0,582057984.0,11435823104.0,
0.878,1.004,96.612,0.0,0.0,1.506,0.0,0.0,0.0,0.0,602883.0,674693.0,6048.0,13907.0,269074432.0,200171520.0,582062080.0,11434008576.0,
1.639,1.387,94.578,0.252,0.0,2.144,0.0,28672.0,0.0,0.0,1003565.0,1128368.0,9741.0,22430.0,271007744.0,200171520.0,582062080.0,11432075264.0,
2.256,1.504,94.236,0.0,0.0,2.005,0.0,0.0,0.0,0.0,1002787.0,1125339.0,9997.0,22805.0,271986688.0,200171520.0,582062080.0,11431096320.0,
1.648,1.141,95.311,0.0,0.0,1.901,0.0,0.0,0.0,0.0,1012660.0,1140910.0,10061.0,23418.0,273027072.0,200171520.0,582062080.0,11430055936.0,
1.272,1.781,95.420,0.0,0.0,1.527,0.0,0.0,0.0,0.0,994854.0,1115406.0,10117.0,23060.0,274305024.0,200171520.0,582062080.0,11428777984.0,
1.889,1.259,95.214,0.0,0.0,1.637,0.0,0.0,0.0,0.0,1020478.0,1155398.0,9324.0,21967.0,275206144.0,200171520.0,582062080.0,11427876864.0,
1.652,1.144,95.807,0.0,0.0,1.398,0.0,0.0,0.0,0.0,1027882.0,1163031.0,9377.0,22172.0,275914752.0,200171520.0,582062080.0,11427168256.0,
1.014,1.774,95.311,0.253,0.0,1.648,0.0,16384.0,0.0,0.0,1015014.0,1146549.0,9838.0,22413.0,277049344.0,200171520.0,582062080.0,11426033664.0,
2.033,0.889,95.807,0.0,0.0,1.271,0.0,0.0,0.0,0.0,1019448.0,1145716.0,9638.0,22448.0,277442560.0,200171520.0,582062080.0,11425640448.0,
1.781,1.145,95.674,0.0,0.0,1.399,0.0,0.0,0.0,0.0,1009766.0,1139523.0,9764.0,25108.0,278278144.0,200171520.0,582062080.0,11424804864.0,
0.759,0.633,97.722,0.0,0.0,0.886,0.0,0.0,0.0,0.0,494889.0,547669.0,5293.0,11824.0,278159360.0,200171520.0,582062080.0,11424923648.0,
0.500,0.375,98.875,0.0,0.0,0.250,0.0,0.0,0.0,0.0,115355.0,129266.0,1737.0,4146.0,277921792.0,200171520.0,582062080.0,11425161216.0,
0.875,0.250,98.500,0.0,0.0,0.375,0.0,0.0,0.0,0.0,95020.0,106731.0,1948.0,4885.0,277970944.0,200171520.0,582062080.0,11425112064.0,
1.258,0.629,96.981,0.126,0.0,1.006,0.0,16384.0,0.0,0.0,482231.0,542581.0,5505.0,12648.0,278667264.0,200171520.0,582062080.0,11424415744.0,
1.892,1.261,94.956,0.0,0.0,1.892,0.0,4096.0,0.0,0.0,1001974.0,1125468.0,9636.0,22139.0,279494656.0,200171520.0,582066176.0,11423584256.0,
1.525,1.271,95.680,0.0,0.0,1.525,0.0,0.0,0.0,0.0,1016149.0,1145830.0,9307.0,22082.0,280727552.0,200171520.0,582066176.0,11422351360.0,
1.759,1.884,94.598,0.0,0.0,1.759,0.0,0.0,0.0,0.0,1023392.0,1154757.0,10200.0,22421.0,281812992.0,200171520.0,582066176.0,11421265920.0,
1.387,1.639,94.956,0.0,0.0,2.018,0.0,0.0,0.0,0.0,1017539.0,1148217.0,10387.0,22414.0,282570752.0,200171520.0,582066176.0,11420508160.0,
1.648,1.014,95.437,0.253,0.0,1.648,0.0,16384.0,0.0,0.0,1023803.0,1152168.0,10218.0,22383.0,283725824.0,200171520.0,582066176.0,11419353088.0,
1.772,1.519,95.443,0.0,0.0,1.266,0.0,0.0,0.0,0.0,1016916.0,1144150.0,9389.0,22249.0,283717632.0,200171520.0,582066176.0,11419361280.0,
1.757,2.258,93.977,0.0,0.0,2.008,0.0,0.0,0.0,0.0,994518.0,1115834.0,9656.0,22062.0,285798400.0,200171520.0,582066176.0,11417280512.0,
1.513,1.765,95.082,0.0,0.0,1.639,0.0,0.0,0.0,0.0,1015102.0,1145703.0,9288.0,22074.0,286867456.0,200171520.0,582066176.0,11416211456.0,
1.513,0.757,97.352,0.0,0.0,0.378,0.0,0.0,0.0,0.0,372740.0,418077.0,4588.0,12361.0,286900224.0,200171520.0,582066176.0,11416178688.0,
0.500,0.125,99.125,0.250,0.0,0.0,0.0,20480.0,0.0,0.0,9696.0,11858.0,723.0,2176.0,286535680.0,200171520.0,582070272.0,11416539136.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,9756.0,11874.0,528.0,1590.0,286478336.0,200171520.0,582070272.0,11416596480.0,
0.501,0.0,99.373,0.0,0.0,0.125,0.0,0.0,0.0,0.0,9848.0,11966.0,849.0,2784.0,286478336.0,200171520.0,582070272.0,11416596480.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.0,11858.0,293.0,883.0,286347264.0,200171520.0,582074368.0,11416723456.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.0,11858.0,294.0,872.0,286101504.0,200171520.0,582074368.0,11416969216.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14297.0,14111.0,371.0,1088.0,286101504.0,200171520.0,582074368.0,11416969216.0,
0.0,0.0,99.749,0.125,0.0,0.125,0.0,61440.0,0.0,0.0,9960.0,12122.0,317.0,924.0,286101504.0,200171520.0,582074368.0,11416969216.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.0,11874.0,600.0,1430.0,286101504.0,200171520.0,582074368.0,11416969216.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9788.0,11858.0,731.0,1908.0,286101504.0,200171520.0,582074368.0,11416969216.0,
0.502,0.0,99.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9788.0,11858.0,1176.0,3058.0,286101504.0,200171520.0,582074368.0,11416969216.0,
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9788.0,11858.0,1178.0,2768.0,286003200.0,200171520.0,582074368.0,11417067520.0,
0.251,0.0,99.248,0.376,0.0,0.125,0.0,28672.0,0.0,0.0,9756.0,11918.0,1006.0,2387.0,285949952.0,200171520.0,582078464.0,11417116672.0,
0.251,0.126,99.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.0,11874.0,850.0,3903.0,285949952.0,200171520.0,582078464.0,11417116672.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.0,11858.0,760.0,1707.0,285868032.0,200171520.0,582078464.0,11417198592.0,
0.125,0.0,99.749,0.0,0.0,0.125,0.0,0.0,0.0,0.0,9756.0,11918.0,847.0,1715.0,285868032.0,200171520.0,582078464.0,11417198592.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14099.0,13913.0,876.0,1890.0,285900800.0,200171520.0,582078464.0,11417165824.0,
