"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu201",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp3-dstat-201.csv --noheaders",,,,"Date:","20 Jun 2017 16:51:06 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.250,0.111,99.605,0.033,0.000,0.001,252.180,4604.640,0.0,0.0,0.0,0.0,258.585,937.844,284274688.0,200269824.0,580919296.0,9301708800.0,
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17346.0,19004.0,639.0,1872.0,284598272.0,200269824.0,580923392.0,9301381120.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17280.0,18486.0,431.0,1210.0,284594176.0,200269824.0,580927488.0,9301381120.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21743.0,20601.0,572.0,1601.0,284635136.0,200269824.0,580927488.0,9301340160.0,
0.375,0.0,99.501,0.0,0.0,0.125,0.0,0.0,0.0,0.0,17412.0,18618.0,478.0,1317.0,284643328.0,200269824.0,580927488.0,9301331968.0,
14.820,3.093,79.510,0.258,0.0,2.320,0.0,45056.0,0.0,0.0,2286471.0,2194978.0,16168.0,68811.0,293253120.0,200269824.0,580927488.0,9292722176.0,
22.832,4.337,69.260,0.0,0.0,3.571,0.0,0.0,0.0,0.0,3853119.0,3711934.0,24840.0,115098.0,300900352.0,200269824.0,580972544.0,9285029888.0,
22.959,4.337,69.005,0.0,0.0,3.699,0.0,0.0,0.0,0.0,3832363.0,3694237.0,24715.0,114562.0,304373760.0,200269824.0,581021696.0,9281507328.0,
24.041,3.964,69.437,0.0,0.0,2.558,0.0,0.0,0.0,0.0,3875404.0,3733472.0,24770.0,115717.0,307253248.0,200269824.0,581079040.0,9278570496.0,
23.333,4.615,68.718,0.0,0.0,3.333,0.0,0.0,0.0,0.0,3810002.0,3671050.0,24778.0,115604.0,309178368.0,200269824.0,581132288.0,9276592128.0,
24.015,4.574,68.234,0.127,0.0,3.050,0.0,36864.0,0.0,0.0,3894482.0,3749904.0,25271.0,117614.0,311234560.0,200269824.0,581181440.0,9274486784.0,
22.785,5.063,68.608,0.0,0.0,3.544,0.0,0.0,0.0,0.0,3911453.0,3766925.0,24948.0,115185.0,314179584.0,200269824.0,581238784.0,9271484416.0,
22.478,4.470,69.221,0.0,0.0,3.831,0.0,0.0,0.0,0.0,3879817.0,3737093.0,24132.0,113962.0,317120512.0,200269824.0,581296128.0,9268486144.0,
23.396,5.157,68.302,0.0,0.0,3.145,0.0,0.0,0.0,0.0,3870707.0,3726396.0,24563.0,114792.0,319688704.0,200269824.0,581349376.0,9265864704.0,
21.429,4.592,69.643,0.0,0.0,4.337,0.0,0.0,0.0,0.0,3845564.0,3702519.0,23983.0,112988.0,321687552.0,200269824.0,581398528.0,9263816704.0,
21.667,7.436,66.282,0.256,0.0,4.359,0.0,28672.0,0.0,0.0,9924960.0,9845110.0,22722.0,142131.0,336990208.0,200269824.0,581455872.0,9248456704.0,
20.156,9.363,67.360,0.0,0.0,3.121,0.0,0.0,0.0,0.0,12204754.0,12187926.0,20017.0,137047.0,342163456.0,200269824.0,581464064.0,9243275264.0,
19.739,8.105,68.758,0.0,0.0,3.399,0.0,0.0,0.0,0.0,12154023.0,12143599.0,19302.0,131659.0,342900736.0,200269824.0,581468160.0,9242533888.0,
21.519,7.342,67.722,0.0,0.0,3.418,0.0,0.0,0.0,0.0,7891786.0,7883044.0,21160.0,121779.0,342949888.0,200269824.0,581472256.0,9242480640.0,
23.185,4.586,68.535,0.0,0.0,3.694,0.0,0.0,0.0,0.0,3815065.0,3674983.0,24791.0,113951.0,344879104.0,200269824.0,581513216.0,9240510464.0,
23.455,4.666,67.844,0.126,0.0,3.909,0.0,24576.0,0.0,0.0,3880145.0,3736749.0,24782.0,116003.0,347271168.0,200269824.0,581566464.0,9238065152.0,
22.911,4.937,68.608,0.0,0.0,3.544,0.0,0.0,0.0,0.0,3906221.0,3762662.0,24924.0,116355.0,349351936.0,200269824.0,581619712.0,9235931136.0,
23.581,4.666,68.096,0.0,0.0,3.657,0.0,0.0,0.0,0.0,3881337.0,3738078.0,24543.0,115083.0,351969280.0,200269824.0,581677056.0,9233256448.0,
24.842,3.783,68.096,0.0,0.0,3.279,0.0,0.0,0.0,0.0,3892025.0,3746899.0,24339.0,114953.0,354656256.0,200269824.0,581726208.0,9230520320.0,
23.359,4.798,68.308,0.0,0.0,3.535,0.0,0.0,0.0,0.0,3873950.0,3731791.0,24468.0,114612.0,357638144.0,200269824.0,581779456.0,9227485184.0,
22.392,4.071,68.702,0.254,0.0,4.580,0.0,20480.0,0.0,0.0,3767222.0,3629416.0,23866.0,111566.0,360091648.0,200269824.0,581836800.0,9224974336.0,
23.145,5.409,67.547,0.0,0.0,3.899,0.0,0.0,0.0,0.0,3877844.0,3733599.0,24680.0,115313.0,364728320.0,200269824.0,581885952.0,9220288512.0,
21.911,4.076,71.592,0.0,0.0,2.420,0.0,0.0,0.0,0.0,2230670.0,2195004.0,16021.0,100057.0,364380160.0,200269824.0,581943296.0,9220579328.0,
21.997,3.161,72.693,0.0,0.0,2.149,0.0,0.0,0.0,0.0,1414362.0,1415560.0,7857.0,91991.0,363634688.0,200269824.0,581947392.0,9221320704.0,
23.581,2.774,72.005,0.0,0.0,1.639,0.0,0.0,0.0,0.0,1386114.0,1387252.0,7153.0,98519.0,363368448.0,200269824.0,581947392.0,9221586944.0,
